name,url,test_types,description,duration,job_levels,languages,rich_text
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,K A B C D E P S,This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,3 minutes,"Entry-Level,","English (USA),","Title: Filing - Names (R1)
Description: This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.
Test Types: K A B C D E P S
Duration: 3 minutes
Job Levels: Entry-Level,"
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,K A B C D E P S,"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.",3 minutes,"Entry-Level,","English (USA),","Title: Filing - Numbers
Description: This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.
Test Types: K A B C D E P S
Duration: 3 minutes
Job Levels: Entry-Level,"
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,K A B C D E P S,"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.",9 minutes,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Title: Financial Accounting (New)
Description: Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",9 minutes,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Title: Financial and Banking Services (New)
Description: Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",10 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Fire Engineering (New)
Description: Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.
Test Types: K A B C D E P S
Duration: 10 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,K A B C D E P S,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,8 minutes,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English International,","Title: Following Instructions v1 - UK (R1)
Description: This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,"
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,K A B C D E P S,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,8 minutes,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Following Instructions v1 - US (R2)
Description: This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,"
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",7 minutes,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Title: Food and Beverage Services (New)
Description: Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",6 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Food Science (New)
Description: Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.
Test Types: K A B C D E P S
Duration: 6 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,K A B C D E P S,Multi-choice test that measures the knowledge of front office operations.,7 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Front Office Management (New)
Description: Multi-choice test that measures the knowledge of front office operations.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",8 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Fundamentals of Chemistry (New)
Description: Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",8 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Fundamentals of Physics (New)
Description: Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.",5 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: General Diseases (New)
Description: Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.
Test Types: K A B C D E P S
Duration: 5 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.",10 minutes,"Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,","English (USA),","Title: Geoinformatics Engineering (New)
Description: Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.
Test Types: K A B C D E P S
Duration: 10 minutes
Job Levels: Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,"
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",8 minutes,"Mid-Professional, Professional Individual Contributor, Graduate,","English (USA),","Title: Geoscience Engineering (New)
Description: Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Mid-Professional, Professional Individual Contributor, Graduate,"
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,K A B C D E P S,Multi-choice test that measures the knowledge of how to use GIT for version control.,13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: GIT (New)
Description: Multi-choice test that measures the knowledge of how to use GIT for version control.
Test Types: K A B C D E P S
Duration: 13 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,C K A B D E P S,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,16 minutes,,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish,","Title: Global Skills Assessment
Description: The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.
Test Types: C K A B D E P S
Duration: 16 minutes
Job Levels: "
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,B A C D E K P S,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Graduate Scenarios Narrative Report:  A participant focused report that contains;  
 - Graduate Scenarios profile
 - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management.

Graduate Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",360 minutes,"Manager, Mid-Professional, Professional Individual Contributor, Graduate,","English International,","Title: Graduate Scenarios
Description: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Graduate Scenarios Narrative Report:  A participant focused report that contains;  
 - Graduate Scenarios profile
 - Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management.

Graduate Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.
Test Types: B A C D E K P S
Duration: 360 minutes
Job Levels: Manager, Mid-Professional, Professional Individual Contributor, Graduate,"
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,B A C D E K P S,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",,"Mid-Professional, Professional Individual Contributor, Manager, Graduate,",English (Global),"Title: Graduate Scenarios Narrative Report
Description: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.
Test Types: B A C D E K P S
Duration: 
Job Levels: Mid-Professional, Professional Individual Contributor, Manager, Graduate,"
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,B A C D E K P S,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.",,"Graduate, Manager, Mid-Professional, Professional Individual Contributor,",English (Global),"Title: Graduate Scenarios Profile Report
Description: Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.
Test Types: B A C D E K P S
Duration: 
Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Hibernate (New)
Description: Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).
Test Types: K A B C D E P S
Duration: 5 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,K A B C D E P S,"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.",15 minutes,"Front Line Manager, Manager,","English (USA),","Title: HIPAA (Security)
Description: The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.
Test Types: K A B C D E P S
Duration: 15 minutes
Job Levels: Front Line Manager, Manager,"
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,C P A B D E K S,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",,,English (Global),"Title: HiPo Assessment Report 1.0
Description: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.
Test Types: C P A B D E K S
Duration: 
Job Levels: "
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,C P A B D E K S,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",,,English (Global),"Title: HiPo Assessment Report 2.0
Description: Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.
Test Types: C P A B D E K S
Duration: 
Job Levels: "
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,C A B D E K P S,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",,,English (Global),"Title: HiPo Unlocking Potential Report 2.0
Description: This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.
Test Types: C A B D E K P S
Duration: 
Job Levels: "
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",7 minutes,"Entry-Level, Front Line Manager, Supervisor,","English (USA),","Title: Housekeeping (New)
Description: Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Entry-Level, Front Line Manager, Supervisor,"
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,K A B C D E P S,Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,12 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: HTML/CSS (New)
Description: Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.
Test Types: K A B C D E P S
Duration: 12 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,K A B C D E P S,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,11 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: HTML5 (New)
Description: Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.
Test Types: K A B C D E P S
Duration: 11 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,K A B C D E P S,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.",8 minutes,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Title: Human Resources (New)
Description: Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,K A B C D E P S,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.",15 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: IBM DataStage (New)
Description: Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.
Test Types: K A B C D E P S
Duration: 15 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.",13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: IBM Sterling Order Management System (New)
Description: Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.
Test Types: K A B C D E P S
Duration: 13 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,K A B C D E P S,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.",9 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Industrial Engineering (New)
Description: Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",10 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Informatica (Architecture) (New)
Description: Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.
Test Types: K A B C D E P S
Duration: 10 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",11 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Informatica (Developer) (New)
Description: Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.
Test Types: K A B C D E P S
Duration: 11 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,K A B C D E P S,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",12 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Instrumentation Engineering (New)
Description: Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.
Test Types: K A B C D E P S
Duration: 12 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,K A B C D E P S,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.",15 minutes,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Interpersonal Communications
Description: This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.
Test Types: K A B C D E P S
Duration: 15 minutes
Job Levels: Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,K A B C D E P S,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.",15 minutes,"Front Line Manager, Manager,","English (USA),","Title: Interviewing and Hiring Concepts (U.S.)
Description: The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.
Test Types: K A B C D E P S
Duration: 15 minutes
Job Levels: Front Line Manager, Manager,"
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",7 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: iOS Development (New)
Description: Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.",8 minutes,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),","Title: ITIL (IT Infrastructure Library) (New)
Description: Multi-choice test that measures the knowledge of capacity management, change management and problem management.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
